fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"r2qk2r/1bpp2b1/1p2P1p1/p5Np/2BnpPnP/P1N5/1PP3P1/R1BQ1K1R b kq - 0 11",300,d7d5,8,111.0
"r7/3k4/pp4p1/2p2p2/4p1n1/PPN1P1P1/1BPP4/2K4R b - - 1 23",-479,c5c4,8,-261.0
"8/4rk2/8/8/8/8/3K4/1R6 w - - 8 70",1,b1c1,8,-4.0
"2bq1rk1/bp3pp1/3p4/p2n3p/P2P4/5PP1/1P3N1P/R1BQ1RK1 w - - 0 15",129,f1e1,8,60.0
"5rk1/2p2ppp/R4B2/3q4/1b6/3BP2P/2P2PP1/Q5K1 b - - 0 18",-451,g7g6,8,-282.0
"r4rk1/pb2b1p1/1qn4p/1p6/2PpBR2/P5P1/1BPPQ1KP/RN6 b - - 0 16",237,f8f4,8,123.0
"2bq2k1/p5pp/1p1b4/3p4/1P1p1P2/P4P2/1N3K1P/3Q1B1R w - - 1 18",356,h2h4,8,189.0
"8/3nk2p/4q2p/R1b5/3pP3/5QPP/2r1N1K1/5R2 w - - 4 25",265,f3d3,8,206.0
"8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28",-193,e1a1,8,-358.0
"1k6/6pr/ppn5/6Bp/2Nb4/PP6/6PP/3R3K b - - 7 29",0,g7g6,8,-39.0
"r4k2/1bq5/4p2r/pBP5/3QnN2/6Pp/7P/RR4K1 b - - 0 23",57,e6e5,8,-42.0
"1r1kq2Q/p1pnb3/8/7p/2B5/1P6/2P3PP/1K1R4 w - - 5 28",-63,h8d4,8,35.0
"r2q1rk1/ppp3np/4b1p1/4p3/P1Pn2Pb/1P3N1N/1B2BP2/R2QK2R w KQ - 2 13",-10,f3d4,8,-24.0
"1n1r2k1/rb3p1p/1p2pqp1/p1p1N3/3P4/2P3PB/PP3P1P/2RQR1K1 b - - 4 13",4,f6e7,8,16.0
"r2kq1nr/pppb4/2n1p2p/3pb3/P2P1B2/2P3P1/1P5P/RN1QKB1R w - - 0 13",20,d4e5,8,-74.0
"r3kbnr/pp6/2p5/P2bnp2/1P1B3p/N1P3P1/4N2P/R2K1BR1 b kq - 1 13",5,f8d6,8,5.0
"2k5/8/R7/2N4K/8/1P3n2/8/6r1 b - - 0 51",28,g1g5,8,142.0
"b6r/p1k2n2/B4p2/6p1/8/PPK2p2/3R3P/6R1 b - - 1 26",32,f7e5,8,-124.0
"1r6/2r1kpQ1/bq1p1p2/3PpB2/p3P2P/1P4P1/3R1P2/3R2K1 b - - 0 32",-11,a4b3,8,-200.0
"8/5p2/p4P2/5PK1/PP4b1/6k1/3B4/8 b - - 1 44",-98,g4e2,8,-454.0
"2k4r/ppp2pb1/4b3/4p3/8/2P1P1B1/PP3PB1/R3K1N1 b - - 0 18",-347,f7f5,8,-134.0
"r2b2r1/2p4q/1kP4p/4p2B/p3PpP1/P2Q3P/1P6/K1R5 w - - 1 35",121,g4g5,8,-190.0
"5rk1/2q4p/2pbbp2/8/3Pp3/4N1P1/4P1BP/3Q1RK1 w - - 0 22",139,g2e4,8,-36.0
"2k5/pp6/5NR1/8/2b5/Pr2P3/2K5/8 b - - 2 29",48,b3e3,8,77.0
"2r1k2r/3p2p1/p3ppb1/Q7/2PNPbpP/1R6/P5P1/R5K1 w k - 0 22",380,a5a6,8,306.0
"5rk1/p3b2p/8/2pnB3/P4p2/5N2/1P2RPrP/2KR4 w - - 0 24",541,d1d5,8,-8.0
"3r2k1/2p1q3/1pn2b2/p4bN1/P1Pn4/R2NBP2/1P4P1/2QK1B2 w - - 0 23",-153,c4c5,8,-80.0
"6k1/3R2b1/b3p1p1/8/2n3P1/7R/3NKP2/r7 w - - 2 35",-157,d7d8,8,-33.0
"4b3/4k1K1/4P3/8/p5p1/8/8/8 w - - 2 74",-526,g7g8,8,-520.0
"Q7/5k2/8/6P1/8/5P2/2b2PK1/8 w - - 1 48",667,g2h3,8,979.0
"2r1r1k1/1p2pn1p/3N1p2/B2P3R/5P2/P5P1/2P4R/2K5 b - - 0 24",-198,e7d6,8,-335.0
"8/4b3/1pk5/8/1P3n2/N1P5/2K5/8 w - - 7 50",-200,a3b1,8,-192.0
"rb4k1/2p4p/2p1q3/P1PpP1p1/Q2P1p2/P1B5/6PP/5R1K b - - 0 27",-369,h7h6,8,-180.0
"8/8/8/p4k2/2N3p1/1P1p4/P5K1/2Bnb3 b - - 7 50",246,f5e4,8,321.0
"r3kb1r/1pqn1pn1/p1p1p1p1/P3P1Bb/1P1P1N1P/2P2P1R/R3N3/3QKB2 w q - 5 19",307,e2g3,8,59.0
"r3r1k1/p4pb1/1p2qn2/3pBp2/7P/3N1QP1/PP6/R4RK1 b - - 3 22",50,f6g4,8,242.0
"8/R7/5kp1/P7/6P1/1bP4K/8/6r1 b - - 2 46",312,b3e6,8,156.0
"r3k2r/1bqpb1p1/pp2pn2/2p1np1p/P2P3P/2N1PPPN/1PP1BK2/R1BQ3R b kq - 0 9",138,e5f7,8,126.0
"3k4/2b2Q2/4p3/P2n2q1/3N4/5R1P/1r3B2/5K2 b - - 6 38",0,g5c1,8,-65.0
"r4rk1/1p4p1/2pbp2p/3p3P/p2N4/2B1q1n1/1PP4Q/1K4R1 w - - 0 27",-564,g1g2,8,-693.0
"3r2k1/p3qpb1/1p1rb1p1/P1p1p2p/2P1P3/2B1P2P/1RQ1BPPK/5R2 w - - 1 23",32,f1b1,8,-24.0
